load,startDate,timeStep,units
200,7/1/2015,Hourly,MWh
200,,,
200,,,
200,,,
200,,,
200,,,
200,,,
200,,,
200,,,
200,,,
200,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
0,,,
0,,,
0,,,
0,, ,
0,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
100,,,
0,,,
0,,,
0,,,
100,,,
100,,,
100,,,
