,Total Generation,Total Generation Cost,Total Generation GHG Cost,Beaver Generation,Beaver Generation Cost,Beaver Generation GHG Cost,Beaver Generation Cost per MWh,Otter Generation,Otter Generation Cost,Otter Generation GHG Cost,Otter Generation Cost per MWh,Sea Lion Generation,Sea Lion Generation Cost,Sea Lion Generation GHG Cost,Sea Lion Generation Cost per MWh,Platypus Generation,Platypus Generation Cost,Platypus Generation GHG Cost,Platypus Generation Cost per MWh,Carty Generation,Carty Generation Cost,Carty Generation GHG Cost,Carty Generation Cost per MWh,Hoover Generation,Hoover Generation Cost,Hoover Generation GHG Cost,Hoover Generation Cost per MWh,Peaker Generation,Peaker Generation Cost,Peaker Generation GHG Cost,Peaker Generation Cost per MWh,Trusty Generation,Trusty Generation Cost,Trusty Generation GHG Cost,Trusty Generation Cost per MWh,Tetchy Generation,Tetchy Generation Cost,Tetchy Generation GHG Cost,Tetchy Generation Cost per MWh
2015-07-01 00:00:00,1000.0,19885.199999999997,3923.7000000000007,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,230.0,6587.2,1400.7000000000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 01:00:00,1082.394766,22301.42090856,4444.967571360001,22.394766,697.82090856,155.86757136,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,290.0,8305.6,1766.1000000000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 02:00:00,952.20432,18564.127404799998,3632.624308800001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,230.0,6587.2,1400.7000000000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,152.20432,4206.9274048,926.9243088000001,27.64,120.0,240.0,0.0,2.0
2015-07-01 03:00:00,885.87276,16670.7230864,3228.6651084000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,170.0,4868.8,1035.3000000000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,145.87276,4031.9230864,888.3651084,27.64,120.0,240.0,0.0,2.0
2015-07-01 04:00:00,955.15799,18600.9248336,3650.612159100001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,185.15799,5302.9248336,1127.6121591000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 05:00:00,922.86355,17676.012071999998,3453.9390195000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,152.86355,4378.012072,930.9390195000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 06:00:00,959.96795,18738.682088,3679.9048155,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,189.96795,5440.6820880000005,1156.9048155,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 07:00:00,1072.329039,22088.65362124,4409.73799494,52.361089,1631.57153324,364.43317944,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,249.96795,7159.082088,1522.3048155000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 08:00:00,995.8661,19766.805104,3898.5245490000007,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,225.8661,6468.805104,1375.5245490000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 09:00:00,1004.43536,20012.2287104,3950.711342400001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,234.43536,6714.228710400001,1427.7113424000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 10:00:00,1060.81257,21626.8720048,4294.0485513,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,290.81257,8328.8720048,1771.0485513,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
